day,date,case,active,recovered,death,susceptible
1,09-Mar,,1,0,0,1147999
2,10-Mar,,1,0,0,1147999
3,11-Mar,,1,0,0,1147999
4,12-Mar,,1,0,0,1147999
6,14-Mar,,1,0,0,1147999
7,15-Mar,,1,0,0,1147999
8,16-Mar,,4,0,0,1147996
9,17-Mar,,4,0,0,1147996
10,18-Mar,,4,0,0,1147996
11,19-Mar,,4,0,0,1147996
12,20-Mar,,4,0,0,1147996
13,21-Mar,,4,0,0,1147996
14,22-Mar,,4,0,0,1147996
15,23-Mar,,6.67,0,0,1147993.33
16,24-Mar,,6.67,0,0,1147993.33
17,25-Mar,,6.67,0,0,1147993.33
19,27-Mar,,6.67,0,0,1147993.33
20,28-Mar,,6.67,0,0,1147993.33
21,29-Mar,,6.67,0,0,1147993.33
22,30-Mar,,8,1,0,1147991
23,31-Mar,,8,1,0,1147991
24,01-Apr,,8,1,0,1147991
25,02-Apr,,8,1,0,1147991
26,03-Apr,,8,1,0,1147991
27,04-Apr,,8,1,0,1147991
28,05-Apr,,8,1,0,1147991
29,06-Apr,,6,7,0,1147987
30,07-Apr,,6,7,0,1147987
31,08-Apr,,6,7,0,1147987
32,09-Apr,,6,7,0,1147987
33,10-Apr,,6,7,0,1147987
35,12-Apr,,6,7,0,1147987
36,13-Apr,,9,8,1,1147982
37,14-Apr,,9,8,1,1147982
38,15-Apr,,9,8,1,1147982
39,16-Apr,,9,8,1,1147982
40,17-Apr,,9,8,1,1147982
41,18-Apr,,9,8,1,1147982
42,19-Apr,,9,8,1,1147982
43,20-Apr,,29,33,1,1147937
44,21-Apr,,45,33,1,1147921
45,22-Apr,,48,33,1,1147918
46,23-Apr,,54,33,1,1147912
47,24-Apr,,60,33,1,1147906
48,25-Apr,,80,33,1,1147886
49,26-Apr,,87,35,1,1147877
50,27-Apr,,93,35,1,1147871
51,28-Apr,,95,35,1,1147869
52,29-Apr,,99,35,1,1147865
53,30-Apr,,103,35,1,1147861
54,01-May,,106,35,1,1147858
55,02-May,,109,35,2,1147854
56,03-May,,137,37,2,1147824
57,04-May,,143,37,2,1147818
58,05-May,,147,37,2,1147814
59,06-May,,143,50,2,1147805
61,08-May,,154,51,2,1147793
62,09-May,,137,71,2,1147790
63,10-May,,134,74,2,1147790
64,11-May,,122,89,2,1147787
65,12-May,,128,95,2,1147775
66,13-May,,128,96,2,1147774
67,14-May,,125,101,2,1147772
68,15-May,,119,110,2,1147769
69,16-May,,118,120,2,1147760
70,17-May,,106,135,2,1147757
71,18-May,,104,142,2,1147752
72,19-May,,117,142,2,1147739
73,20-May,,92,179,2,1147727
74,21-May,,96,181,2,1147721
75,22-May,,95,187,2,1147716
76,23-May,,102,191,2,1147705
77,24-May,,109,191,2,1147698
78,25-May,,111,191,2,1147696
79,26-May,,113,191,2,1147694
80,27-May,,94,212,2,1147692
81,28-May,,96,217,3,1147684
82,29-May,,93,221,3,1147683
83,30-May,,91,224,3,1147682
84,31-May,,96,224,3,1147677
85,01-Jun,,78,247,3,1147672
86,02-Jun,,95,247,3,1147655
87,03-Jun,,105,248,3,1147644
88,04-Jun,,108,252,3,1147637
89,05-Jun,,136,255,3,1147606
90,06-Jun,,159,259,3,1147579
91,07-Jun,,208,261,3,1147528
92,08-Jun,,223,269,3,1147505
93,09-Jun,,236,270,3,1147491
94,10-Jun,,237,272,4,1147487
95,11-Jun,,253,272,4,1147471
96,12-Jun,,257,282,4,1147457
97,13-Jun,,297,285,4,1147414
98,14-Jun,,315,290,4,1147391
99,15-Jun,,343,299,4,1147354
100,16-Jun,,337,308,5,1147350
101,17-Jun,,345,308,5,1147342
102,18-Jun,,346,314,6,1147334
103,19-Jun,,348,342,7,1147303
104,20-Jun,,352,354,7,1147287
105,21-Jun,,351,370,8,1147271
106,22-Jun,,353,390,8,1147249
107,23-Jun,,367,393,8,1147232
108,24-Jun,,398,395,11,1147196
109,25-Jun,,404,403,11,1147182
111,27-Jun,,411,441,11,1147137
112,28-Jun,,410,475,11,1147104
113,29-Jun,,381,538,13,1147068
114,30-Jun,,406,558,13,1147023
115,01-Jul,,428,570,13,1146989
116,02-Jul,,434,587,13,1146966
117,03-Jul,,472,593,14,1146921
118,04-Jul,,536,611,14,1146839
119,05-Jul,,587,632,17,1146764
120,06-Jul,,606,656,18,1146720
121,07-Jul,,637,679,18,1146666
122,08-Jul,,663,691,20,1146626
123,09-Jul,,681,711,20,1146588
124,10-Jul,,719,718,20,1146543
125,11-Jul,,745,747,20,1146488
126,12-Jul,,795,759,21,1146425
127,13-Jul,,829,792,21,1146358
128,14-Jul,,920,811,21,1146248
129,15-Jul,,950,845,21,1146184
130,16-Jul,,953,873,23,1146151
131,17-Jul,,1015,878,24,1146083
132,18-Jul,,1037,899,25,1146039
134,20-Jul,,1116,952,28,1145904
135,21-Jul,,1174,963,28,1145835
136,22-Jul,,1189,1009,32,1145770
137,23-Jul,,1257,1048,34,1145661
138,24-Jul,,1340,1048,39,1145573
139,25-Jul,,1441,1093,40,1145426
140,26-Jul,,1403,1157,40,1145400
141,27-Jul,,1393,1237,41,1145329
142,28-Jul,,1449,1237,43,1145271
143,29-Jul,,1518,1237,43,1145202
144,30-Jul,,1540,1276,45,1145139
145,31-Jul,,1549,1281,49,1145121
146,01-Aug,,1471,1408,53,1145068
147,02-Aug,,1437,1499,55,1145009
148,03-Aug,,1499,1504,56,1144941
149,04-Aug,,1507,1588,56,1144849
150,05-Aug,,1571,1630,58,1144741
152,07-Aug,,1627,1743,63,1144567
153,08-Aug,,1552,1933,63,1144452
154,09-Aug,,1543,2014,65,1144378
155,10-Aug,,1509,2016,68,1144407
156,11-Aug,,1408,2291,69,1144232
157,12-Aug,,1501,2291,70,1144138
158,13-Aug,,1450,2394,73,1144083
159,14-Aug,,1326,2610,76,1143988
160,15-Aug,,1368,2634,79,1143919
161,16-Aug,,1386,2666,81,1143867
162,17-Aug,,1365,2705,81,1143849
163,18-Aug,,1344,2785,83,1143788
164,19-Aug,,1242,2921,85,1143752
165,20-Aug,,1283,2959,85,1143673
166,21-Aug,,1282,2982,86,1143650
167,22-Aug,,1221,3101,88,1143590
168,23-Aug,,1229,3138,89,1143544
170,25-Aug,,1060,3382,91,1143467
171,26-Aug,,992,3501,91,1143416
172,27-Aug,,957,3552,91,1143400
173,28-Aug,,962,3585,94,1143359
174,29-Aug,,989,3608,94,1143309
175,30-Aug,,837,3812,94,1143257
176,31-Aug,,842,3867,94,1143197
177,01-Sep,,822,3926,94,1143158
178,02-Sep,,808,3974,94,1143124
179,03-Sep,,761,4052,94,1143093
180,04-Sep,,749,4082,96,1143073
181,05-Sep,,762,4100,97,1143041
182,06-Sep,,793,4126,98,1142983
183,07-Sep,,762,4188,98,1142952
184,08-Sep,,764,4211,98,1142927
185,09-Sep,,748,4252,98,1142902
186,10-Sep,,629,4397,101,1142873
188,12-Sep,,636,4441,101,1142822
189,13-Sep,,649,4462,103,1142786
190,14-Sep,,634,4501,103,1142762
191,15-Sep,,570,4594,104,1142732
192,16-Sep,,541,4647,104,1142708
193,17-Sep,,531,4670,104,1142695
194,18-Sep,,529,4695,106,1142670
195,19-Sep,,542,4716,108,1142634
196,20-Sep,,543,4747,108,1142602
197,21-Sep,,524,4790,108,1142578
198,22-Sep,,509,4825,108,1142558
199,23-Sep,,502,4844,108,1142546
200,24-Sep,,577,4867,108,1142448
201,25-Sep,,495,4882,108,1142515
202,26-Sep,,461,4935,109,1142495
204,28-Sep,,349,5084,111,1142456
205,29-Sep,,343,5099,111,1142447
206,30-Sep,,331,5150,111,1142408
207,01-Oct,,326,5164,112,1142398
208,02-Oct,,317,5192,112,1142379
209,03-Oct,,308,5219,113,1142360
210,04-Oct,,288,5254,113,1142345
211,05-Oct,,277,5277,113,1142333
212,06-Oct,,265,5345,113,1142277
213,07-Oct,,246,5333,113,1142308
214,08-Oct,,248,5345,113,1142294
215,09-Oct,,245,5360,114,1142281
216,10-Oct,,254,5370,115,1142261
217,11-Oct,,243,5398,115,1142244
218,12-Oct,,239,5415,115,1142231
219,13-Oct,,258,5415,115,1142212
220,14-Oct,,249,5438,116,1142197
221,15-Oct,,245,5450,116,1142189
222,16-Oct,,247,5460,116,1142177
223,17-Oct,,236,5476,116,1142172
224,18-Oct,,230,5491,116,1142163
225,19-Oct,,230,5508,116,1142146
226,20-Oct,,240,5514,116,1142130
227,21-Oct,,236,5525,116,1142123
228,22-Oct,,236,5534,116,1142114
229,23-Oct,,235,5547,116,1142102
231,25-Oct,,240,5565,117,1142078
232,26-Oct,,235,5580,117,1142068
233,27-Oct,,154,5669,117,1142060
